sample,assay,wells,detected,meanCp,cpSd,cpRange,meanTm,tmRange,meltGroups,meanMeltScore,status,issues
siFBN2-4,ZNF436-2,K21;K22;K23;K24,4,25.4775,0.09178779875342925,0.19000000000000128,73.20500000000001,0.12999999999999545,3,0.9924999999999999,PASS,
siZNF436-1,GAPDH,M1;M2;M3;M4,4,16,0.033665016461206385,0.0799999999999983,86.0575,0.03999999999999204,1,0.8825000000000001,PASS,
siZNF436-1,TBP,M5;M6;M7;M8,4,24.79,0.18867962264113253,0.4400000000000013,80.29750000000001,0.01999999999999602,1,0.9850000000000001,PASS,
siZNF436-1,FBN2-1,M9;M10;M11;M12,4,23.655,0.07549834435270754,0.17999999999999972,79.3125,0.09999999999999432,2,0.98,REVIEW,列10人工备注
siZNF436-1,FBN2-2,M13;K14;M15;M16,4,23.6325,0.04573474244670679,0.09999999999999787,83.61,0.13000000000000966,1,0.965,REVIEW,列14已重映射
siZNF436-1,ZNF436-1,M17;M18;M19;M20,4,30.102500000000003,0.2988171124060109,0.6799999999999997,75.58250000000001,1.7399999999999949,Unknown;3,0.71,FAIL,Tm复孔范围>0.50°C;熔解聚类不一致
siZNF436-1,ZNF436-2,M21;M22;M23;M24,4,25.224999999999998,0.023804761428475908,0.05000000000000071,73.245,0.060000000000002274,3,0.99,PASS,
siZNF436-2,GAPDH,O1;O2;O3;O4,4,16.0175,0.04787135538781672,0.10999999999999943,86.04749999999999,0.06999999999999318,1,0.885,PASS,
siZNF436-2,TBP,O5;O6;O7;O8,4,24.974999999999998,0.12449899597988738,0.28000000000000114,80.275,0.14999999999999147,1,0.99,PASS,
siZNF436-2,FBN2-1,O9;O10;O11;O12,4,23.665,0.1066145706114629,0.23000000000000043,79.31,0.12999999999999545,2,0.9825,REVIEW,列10人工备注
siZNF436-2,FBN2-2,O13;M14;O15;O16,4,23.674999999999997,0.07325753658612057,0.1700000000000017,83.59,0.11999999999999034,1,0.955,REVIEW,列14已重映射
siZNF436-2,ZNF436-1,O17;O18;O19;O20,4,28.979999999999997,0.1430617582258335,0.33000000000000185,76.935,0.8799999999999955,3,0.7925,FAIL,Tm复孔范围>0.50°C
siZNF436-2,ZNF436-2,O21;O22;O23;O24,4,25.2375,0.1668082731761225,0.379999999999999,73.2225,0.07000000000000739,3,0.99,PASS,
